Server Name,IP
airwave.nsd.org,10.1.20.13
bna.ad.nsd.org,10.1.24.37
fsan2.nsd.org,10.1.22.2
ede.nsd.org,10.1.20.184
fsan3.nsd.org,10.3.9.200
mailfile.nsd.org,10.1.20.35
